town,2026-07-29,2026-07-30,2026-08-03,2026-08-04,2026-08-06,2026-08-10,2026-08-17,2026-08-18,2026-08-19,2026-08-24,2026-08-29,2026-08-31
"Deniliquin",0,0,0,0,0,0,0,0,0,0,0,NA
"Dubbo",0,0,0,0,0,0,0,0,0,0,0,NA
"Griffith",0,0,0,0,0,0,0,0,0,0,0,NA
"Lismore",0,0,0,0,0,0,0,0,0,0,0,NA
"Moree",0,0,0,0,0,0,0,0,0,0,0,NA
"Borroloola",0,1,0,1,1,2,3,3,3,3,2,NA
"Humpty Doo",0,0,0,0,0,0,0,0,0,0,0,NA
"Jabiru",0,0,0,0,0,0,0,0,0,0,0,NA
"Katherine",0,0,0,0,0,0,0,0,0,0,0,NA
"Timber Creek",0,0,0,0,0,0,0,0,0,0,0,NA
"Archer River",2,2,0,0,0,1,1,1,1,1,1,NA
"Bamaga",0,0,0,0,0,0,0,0,0,0,0,NA
"Biloela",0,0,0,0,0,0,0,0,0,0,0,NA
"Burketown",0,0,0,0,0,1,1,1,1,1,1,NA
"Clermont",0,0,0,0,0,0,0,0,0,0,0,NA
"Croydon",0,0,0,0,0,0,0,0,0,0,0,NA
"Dalby",0,0,0,0,0,0,0,0,0,0,0,NA
"Emerald",0,0,0,0,0,0,0,0,0,0,0,NA
"Goondiwindi",0,0,0,0,0,0,0,0,0,0,0,NA
"Gympie",0,0,0,0,0,0,0,0,0,0,0,NA
"Home Hill",0,0,0,0,0,0,0,0,0,0,2,NA
"Lakeland",1,1,0,0,0,0,0,0,0,0,0,NA
"Malanda",0,0,0,0,0,0,0,0,0,0,0,NA
"Marian",0,0,0,0,0,0,0,0,0,0,0,NA
"Proserpine",0,1,0,0,0,0,0,0,0,0,0,NA
"Rolleston",0,0,0,0,0,0,0,0,0,0,0,NA
"Roma",0,0,0,0,0,0,0,0,0,0,0,NA
"Theodore",0,0,0,0,0,0,0,0,0,0,0,NA
"Warwick",0,0,0,0,0,0,0,0,0,0,0,NA
"Fitzroy Crossing",0,0,0,0,0,0,0,0,0,0,0,NA
"Kununurra",0,0,0,0,0,0,0,0,0,0,0,NA
