utc_day,stamp,label,spent
2026-08-23,2026-08-23 22:31:44,grid,8548.3
2026-08-23,2026-08-23 22:33:42,towns,150.6
2026-08-25,2026-08-25 02:13:10,grid,8547.6
2026-08-25,2026-08-25 02:15:24,towns,150.6
2026-08-26,2026-08-26 10:28:40,grid,8545.6
2026-08-26,2026-08-26 10:31:05,towns,150.6
2026-08-31,2026-08-31 00:32:29,grid,8126
2026-08-31,2026-08-31 00:34:20,towns,150.6
2026-09-04,2026-09-04 20:33:33,grid,7721
2026-09-04,2026-09-04 20:36:03,towns,150.6
2026-09-06,2026-09-06 23:14:16,grid,5000
2026-09-06,2026-09-06 23:16:21,towns,121.4
